order_id,product_id,add_to_cart_order,reordered
1574120,21333,2,0
1128948,3765,1,1
2363252,20410,8,0
3251380,14870,1,1
949877,13176,2,1
2559485,26369,5,0
2032116,21137,2,1
3256333,39893,12,1
1709005,41149,9,0
1718196,28842,3,1
792653,47626,22,0
1194716,28756,3,0
425252,723,5,0
404727,40910,11,0
1656536,37029,7,1
1940878,38689,5,1
246245,39180,13,1
406687,44359,18,1
731478,39877,6,1
544047,36522,6,1
2109841,7704,21,0
833306,47890,3,1
3287273,49610,1,0
1278416,48679,21,1
2427558,24427,7,1
3174865,31802,11,0
2529115,28064,2,0
3201254,47672,14,1
3149145,6184,1,1
2155546,30723,4,0
2243143,31277,3,1
1207150,19614,4,0
3372144,3585,16,1
3353358,24680,3,1
140947,15164,2,0
2605093,5782,10,0
1113203,13176,1,1
2638295,43183,3,0
3120367,22218,8,0
3260286,17872,3,0
2282913,38164,3,1
2448108,43122,5,0
1698240,8575,6,0
68917,17691,2,1
315917,30492,7,0
3239985,8424,7,1
2544389,5067,5,0
2808846,4357,2,1
1411251,35561,5,0
2533282,39558,9,0
1742949,43379,6,1
2902847,31848,14,0
3119611,1158,1,1
2934689,28842,2,0
1765159,6729,4,1
2793705,48679,9,1
1105457,46650,18,1
2337465,691,15,1
1833758,46802,15,0
2628648,18288,2,1
1425420,45,5,1
2675975,24009,11,1
615965,22309,3,1
1971309,20345,3,0
2372375,2078,1,0
2040754,18370,5,1
2327735,47209,6,1
478146,34407,4,1
392323,23413,10,0
1317345,39802,40,0
1830760,17022,6,1
2189149,33055,14,0
1576845,16797,1,1
321927,39993,10,1
589307,16349,3,1
1585599,19057,36,1
1165939,28433,4,1
2001935,47766,11,1
778013,45128,2,0
392770,17122,3,1
2936404,17122,3,1
1906376,37646,2,1
130690,29967,4,1
1518256,27724,8,1
2632182,49478,6,1
274741,28204,7,0
1865378,6046,12,1
3373270,15294,21,0
2085405,26346,4,1
736875,44987,7,0
2288309,14947,1,0
1976918,23719,6,1
1867188,47209,16,1
2877964,18599,11,0
524631,44156,2,0
10142,41665,12,0
2387697,49544,5,1
2998438,31893,4,1
1144569,28946,23,1
2909096,41588,4,1
719635,3631,11,1
1610176,18037,9,1
1294900,45948,7,1
1773931,45210,7,0
87199,148,5,1
1487464,34262,1,0
2780072,16519,2,0
1482686,47008,16,0
13163,26209,7,1
2856017,21903,4,1
3653,21903,21,0
2909140,6928,3,1
2450337,33754,1,0
2501482,14575,8,1
603275,33065,4,1
1649745,260,4,0
2988310,32369,3,0
831979,17794,23,1
2919412,5097,23,1
2660990,32403,4,1
2810630,35824,3,1
125533,45447,1,1
571930,24852,1,1
591266,13378,1,1
3177889,15359,21,0
3000981,33198,26,1
441497,14704,3,0
1260330,1751,1,1
762225,25089,4,0
1068064,14148,2,0
1252671,6348,5,1
1867508,38266,5,1
44846,19691,4,1
491531,38313,5,0
2741620,13070,9,1
1731648,31869,8,0
248431,47977,1,1
544909,27509,6,0
1816814,28842,15,0
688067,38777,7,0
1808188,46906,5,1
2319480,41220,2,1
3154599,5011,1,0
2109154,48395,9,1
1073054,34199,6,1
660850,3126,6,0
1237929,47626,20,0
2428930,39275,14,1
1354698,1940,1,1
2207667,47766,14,1
45156,2775,13,0
777748,32747,27,1
2255723,23385,7,0
508214,13621,3,0
938998,36717,2,0
2164722,48163,5,1
1612773,15359,1,1
1634030,39760,4,0
657338,35951,6,1
811305,15649,12,1
647128,14540,7,0
1551096,24288,5,1
621732,46069,6,0
3372655,18523,16,0
2095584,42512,14,1
1609607,27966,8,1
2782893,40462,2,1
3155294,24184,7,0
2275988,34664,3,1
2387902,33198,4,0
1548255,38135,17,0
737800,47766,6,1
2729654,7736,16,0
2496371,42500,1,0
2709573,36695,2,1
1105911,2175,11,1
1196251,44142,7,0
473178,21212,4,0
767792,8671,14,0
1296828,11068,8,1
1027596,26668,5,0
2495519,31394,24,0
3287230,23580,3,1
3006541,42352,8,1
127780,24852,8,0
1303995,44142,2,1
2559318,27086,1,1
1978734,44570,1,1
3070456,38944,1,1
756729,6348,5,0
1177066,28156,14,0
