order_id,product_id,add_to_cart_order,reordered
2728393,14168,46,0
2563405,38456,4,0
2935454,18465,2,0
2085359,4945,3,1
3117126,28985,3,1
2953378,8309,12,1
1988766,47229,17,0
70487,2452,32,0
1067328,33089,11,1
587721,38689,3,1
610674,21903,7,0
2457765,8590,3,0
2312467,36854,19,0
1945379,39922,12,1
53899,44414,15,1
3059999,41950,7,1
2600837,36620,13,0
1930519,5578,3,1
2073577,5312,2,0
471117,907,1,1
3045178,24852,18,1
2534479,43565,9,0
1962520,33037,8,0
231721,39928,2,1
1928243,24799,9,1
716865,20119,9,0
3154138,25544,13,0
802935,4605,15,1
637827,34137,5,1
2281107,11598,3,0
189021,34993,6,0
3397140,36011,3,1
1339332,5782,10,1
2025409,45066,2,1
2768806,39408,17,0
885966,22178,5,1
3326589,11865,27,1
1541238,3880,13,1
2218381,44384,7,0
2746945,39947,1,1
1594417,14633,5,1
2102854,40199,1,0
7200,27238,11,1
2238121,38308,12,0
1265339,17419,4,0
579469,43349,18,1
1914098,38775,5,0
930826,19151,5,0
1957182,30406,3,1
1946279,26348,5,1
245315,42557,9,1
73914,10749,13,1
522887,29745,15,0
2600424,23909,5,1
2013395,27104,12,0
3101377,13304,9,1
3254170,14966,1,1
1243629,27489,11,1
1950025,17638,5,1
1783707,45906,25,0
535758,16070,19,0
3381467,8707,6,1
1340799,39275,21,0
464226,47766,17,1
267937,30839,19,0
3164472,4790,3,1
2642926,20955,4,1
1056653,27966,5,1
959316,32331,13,0
3163745,24737,10,1
1649225,1158,6,0
1445653,33144,3,0
161309,26346,4,1
1719053,22474,17,0
2038547,27750,10,1
1723791,31564,34,1
3037843,42613,21,0
53046,25093,11,1
547318,44570,30,0
1925815,5258,8,1
759642,39408,8,1
3036179,20995,2,1
3099968,4138,7,0
253249,26648,14,0
2948667,21425,5,1
3105984,35336,6,0
2673094,19049,10,1
3154270,11740,2,1
1554994,9092,3,0
1140749,21903,3,0
862500,16797,2,1
1103667,28204,1,1
2265834,40004,17,0
2754305,39275,12,1
64860,9953,8,0
33202,18171,12,0
322978,14114,7,1
3081182,33671,1,1
1569948,40587,19,0
1897810,34886,3,1
2843727,22474,24,0
2164868,4095,21,0
1510089,14414,7,1
2412459,12385,11,0
716798,26165,4,0
2975737,30391,5,1
1584264,23909,1,1
2432304,13176,1,1
198371,21575,10,0
3382968,9825,8,1
88263,1062,10,1
84645,38553,7,0
216000,40756,5,0
603228,1511,4,1
1558405,30373,2,0
2947888,2966,4,1
2680396,49683,22,0
2926550,36126,17,0
2721005,26304,16,0
199943,8229,11,0
2212603,23888,4,0
3359367,35788,9,1
526315,45916,3,1
908273,43662,3,1
1132287,28849,6,1
3063416,3798,3,0
536400,16759,16,1
1294094,38558,7,1
2414484,29373,19,1
3023521,12499,1,1
1209617,30036,4,1
1917793,2452,12,1
622823,21903,1,1
2536847,24838,4,1
1083228,4,1,1
2578509,22210,10,1
821202,46779,17,0
617230,10749,6,1
1635165,28985,3,1
1655702,18811,10,1
3258290,49235,16,1
339896,40545,19,1
1470222,25330,9,0
1928494,27344,8,1
322308,21709,9,0
2481006,30183,10,1
2342470,43352,4,1
2251296,11136,3,1
616092,4711,2,1
2590483,19678,10,1
3419917,5621,6,0
1830357,2979,11,0
1292216,19056,3,1
1927260,26698,3,1
486388,40709,5,1
2756058,22530,1,1
1300350,16826,32,1
1029475,37524,3,1
2949513,15359,8,0
178656,27299,19,0
2317936,14897,9,0
1038249,40604,7,0
597985,11759,3,1
1868780,29370,3,0
1496397,40706,3,1
1190458,13176,2,1
1345833,47652,7,0
1733670,49374,30,1
1052186,226,17,1
1097792,28199,19,1
943694,17854,1,1
52176,32478,1,0
2252237,27845,4,0
2991946,16759,25,1
2290797,42509,11,1
2632928,27104,16,1
687507,29088,8,0
2491026,17948,9,1
1126403,18465,8,0
1461209,38067,4,0
3139619,18025,13,0
1540698,42356,11,1
841961,15759,1,0
1617955,31893,11,0
2282638,32864,3,1
2229785,24852,5,1
3173563,34969,10,1
922922,40604,6,0
2736110,24852,2,1
227682,44072,4,0
2360909,17679,5,1
1068168,22028,2,0
2986294,21937,4,1
321491,29662,10,1
3158174,14711,9,1
2141986,22825,19,1
2386757,11520,1,1
2845920,39947,1,1
2636903,17948,8,1
1469781,32879,14,0
1667090,20919,7,0
3326373,38511,6,1
776027,11837,6,0
1345091,27625,19,0
2931104,9154,13,1
1098079,18566,20,0
1576281,39558,2,0
1590240,47809,1,1
3040209,25256,9,1
3081680,42224,19,0
50566,18531,1,0
295986,24852,5,1
665824,207,8,0
2448247,19057,3,0
1531051,46962,15,0
696090,2869,21,1
3173563,21938,3,1
1059839,16797,9,0
844223,41787,1,1
2945815,32650,6,1
808217,890,7,0
1201539,31609,8,1
3152192,21616,13,0
807660,32422,13,0
78020,13176,1,0
1866029,31020,7,0
2923299,19816,15,1
321596,26317,7,1
1358243,29603,15,0
2015254,16615,3,1
1215358,8424,17,0
3253639,26209,5,0
2876521,27531,18,0
1176870,13176,8,1
1317441,29172,1,1
3420851,14870,9,0
2676146,10326,7,0
2016150,21903,3,1
1344167,26209,3,0
3056780,35951,6,1
1624378,31634,2,0
1544497,22935,10,1
282968,36772,8,1
2313597,5876,3,1
2702629,31196,20,0
2514374,11265,22,1
476619,27360,7,1
1097475,46881,6,0
3117850,27277,16,1
1049505,43961,3,1
2774881,10565,2,0
2922449,13176,5,0
2552494,15516,4,0
1288969,12341,6,1
2011977,9996,5,0
3205742,17355,10,1
1236867,28550,8,0
2669631,41220,8,0
1318593,2797,4,0
2572547,9582,6,0
809290,45028,17,0
914525,10580,2,0
517817,9810,6,1
944023,47209,4,1
2481370,5782,2,1
984127,30274,15,1
577070,41220,9,1
703300,1359,5,0
685359,7123,1,0
1925033,44424,8,0
2987025,8832,18,0
615530,36206,10,0
2530243,4605,27,0
2459064,33731,9,0
436532,27966,2,1
1667070,4472,1,1
2922477,26604,10,1
925844,38985,3,1
2459369,27156,20,0
2025243,31803,9,0
24565,43086,1,1
727574,6104,13,0
28046,38949,2,1
3287335,32203,28,0
2052091,40334,36,1
2130845,41242,17,1
2323659,49026,21,1
2755600,17634,1,1
348754,8382,16,0
2137805,8518,5,1
2926119,42475,1,0
1640455,44575,4,1
459505,8479,1,0
1952516,13029,17,0
1355316,28289,26,1
220090,42665,7,1
3017922,22935,7,1
1047264,47755,23,0
2835298,3398,7,0
1995521,34027,2,1
1068289,39692,9,0
1855565,29883,1,0
2306384,31040,2,0
2943854,27554,12,0
3151511,24118,12,0
2274332,16797,2,1
1917528,14493,8,1
116711,46654,10,1
1595245,35561,2,0
1437835,16965,18,0
3228819,31467,6,1
231560,5450,13,1
3146344,14903,24,1
2564526,10967,17,0
721152,12312,4,0
2598894,45504,1,0
2953353,44870,4,0
1402622,21405,1,1
329469,14197,17,0
1451858,13176,9,0
674154,12962,15,1
716028,48015,7,1
1003694,46059,17,0
2451297,3142,16,1
2785469,30227,29,0
349195,1090,15,1
1682648,29180,2,1
2957436,7177,4,1
2194102,4920,13,1
348010,43094,2,1
3312970,48883,5,0
2869939,1202,6,1
804553,16498,25,0
721709,31066,25,1
3165654,37718,12,1
699366,22400,1,0
2263885,2344,9,1
873323,17010,10,0
1461630,35004,23,1
964479,27664,14,1
1771355,25146,6,0
2669090,38028,19,1
391238,27344,23,0
2073369,23915,7,1
3335094,1940,7,1
2417991,47626,7,1
672255,4920,19,1
100285,19057,10,0
2930902,34194,1,0
1253928,24489,1,1
2698539,28900,5,1
2409384,9422,3,1
2719357,26540,32,0
25641,44504,9,0
2445526,28204,4,1
3245134,8710,11,1
2400333,21910,14,0
240632,12357,3,1
899378,30391,2,0
2734437,23405,1,0
219497,34197,1,1
3076248,1234,3,1
3167096,1940,21,1
2753609,13368,3,0
2936863,23915,9,0
1775875,8424,1,1
745945,35652,9,0
2431058,32684,1,0
480234,32100,11,0
2548143,18218,4,0
462884,28907,5,1
1267451,27172,2,1
1268449,8277,10,1
3077020,33787,9,1
1448770,16973,4,0
3023108,19019,3,1
1727790,39332,10,1
539401,9766,9,1
1708223,21474,1,1
234618,14280,2,1
2670004,8479,8,0
1176083,25890,9,0
228154,28593,3,1
1682908,23909,1,1
2397200,5782,3,1
2073675,33956,7,1
1955649,40648,4,1
2663004,17794,13,0
2460885,13032,4,1
398950,31717,4,1
3121861,47626,13,1
3016237,39160,3,1
2083296,44142,13,1
1653204,20153,3,0
26733,21083,26,0
3248298,27845,1,0
3281236,24197,17,1
1620607,19950,12,0
3265217,12515,5,0
1134158,33636,25,1
2532338,36011,4,1
49346,5450,12,1
2771927,10448,13,1
1924347,16234,1,1
343180,365,6,0
2813632,44245,62,0
1357011,21938,2,0
1940367,22431,27,1
2000877,15937,21,1
1159102,16020,13,1
2318001,14852,30,1
1727430,39391,16,1
3240466,23288,8,1
3025078,21137,8,1
2748578,21847,3,0
709414,6184,4,0
2356392,15902,15,1
1666095,30764,2,1
1673670,21405,4,1
587444,5288,11,0
429911,34466,2,0
1558662,19503,7,0
1563902,13988,19,0
742544,45007,45,0
1245251,49683,1,1
1526316,49533,2,1
1554203,43973,9,0
728976,46484,14,1
2875239,33452,6,0
386223,14602,3,0
1489217,26369,9,1
2540594,4799,4,1
3174250,25466,3,1
1915577,27966,2,1
1670603,33731,10,0
2288776,3999,12,1
149544,22035,8,1
3083622,17572,3,0
198700,26925,6,0
2245191,43352,2,1
3204525,23029,19,0
2849204,27156,4,1
1734258,10070,3,1
1986228,23541,12,0
2199166,33198,1,0
328038,28278,7,0
1739787,21709,9,1
2345547,12409,9,0
2692022,42936,8,0
1094143,4086,2,1
2926550,45013,7,1
1777317,34927,3,1
2431524,36695,6,0
1918760,27845,4,1
109364,260,17,1
2738847,41745,3,0
245665,16971,8,0
1271960,2604,2,0
2938065,3774,2,1
1711735,38400,16,1
1508235,31680,17,0
1345715,6656,1,1
1942281,16589,19,1
1250598,29429,5,1
1050475,17872,7,1
3395406,28204,10,1
3243364,32019,1,0
1409378,28826,1,1
1840962,43352,7,1
2838543,6184,1,1
2782709,8385,20,0
2761885,13176,4,1
3277176,17758,6,0
2647777,27323,9,1
1018875,46129,14,0
