order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1436919,155916,prior,3,1,18,5.0
2110272,105550,prior,3,6,14,30.0
2353935,26139,prior,22,2,10,5.0
3042096,23202,prior,15,1,12,5.0
2960187,190748,test,6,5,13,11.0
188402,199580,prior,31,2,22,5.0
3388673,16761,prior,1,4,10,
469091,165780,prior,2,0,15,30.0
1173781,35495,prior,3,0,22,14.0
415038,76437,prior,2,1,17,30.0
1640480,50101,prior,28,3,7,5.0
3386964,198217,prior,37,0,12,1.0
3318214,1041,prior,4,1,19,7.0
1242661,191853,prior,33,2,9,8.0
168760,118228,test,21,2,12,13.0
2450651,134208,prior,16,3,10,1.0
249420,100879,prior,2,5,10,8.0
1695901,173300,prior,10,1,16,8.0
2111856,88285,prior,8,6,9,20.0
991027,56210,prior,30,1,15,8.0
2317188,191305,prior,6,1,18,14.0
143577,55980,prior,6,6,11,14.0
1178576,124033,prior,2,1,12,18.0
1020154,124949,prior,52,5,9,4.0
167876,199868,prior,5,1,14,29.0
957282,98394,prior,1,0,16,
2883868,51506,prior,4,5,14,30.0
1225861,131946,prior,39,2,13,2.0
974090,147128,prior,3,1,17,7.0
1442150,173138,prior,68,1,16,7.0
590190,139810,prior,6,3,18,12.0
1935384,199302,prior,4,6,18,3.0
2024085,49108,prior,24,3,11,4.0
1497952,162877,train,6,1,17,30.0
333758,190930,prior,21,1,15,4.0
577298,147123,prior,7,1,7,5.0
3339189,143701,prior,31,1,12,3.0
1270214,139558,prior,53,1,12,5.0
1681300,116923,prior,11,0,13,4.0
409930,21649,prior,29,3,16,2.0
2097259,180135,prior,28,4,15,3.0
2443738,100,prior,3,5,17,30.0
292589,142236,prior,10,3,12,6.0
850501,134431,prior,6,0,15,30.0
552000,5706,prior,9,3,16,2.0
2885597,27211,prior,3,6,8,30.0
1004903,132151,prior,14,6,1,20.0
3175937,198990,prior,13,1,12,5.0
2172833,190673,prior,2,6,13,30.0
2198969,163511,prior,10,3,21,30.0
