order_id,products
3193326,39276 29259
3128042,39276 29259
2412655,39276 29259
2714557,39276 29259
3270320,39276 29259
1722354,39276 29259
1599879,39276 29259
1869055,39276 29259
2949829,39276 29259
2963012,39276 29259
630324,39276 29259
1497818,39276 29259
1438122,39276 29259
207786,39276 29259
179561,39276 29259
467416,39276 29259
2202772,39276 29259
2346933,39276 29259
2442065,39276 29259
3338047,39276 29259
1103187,39276 29259
3247862,39276 29259
738179,39276 29259
2815016,39276 29259
950456,39276 29259
1480876,39276 29259
2074011,39276 29259
2311960,39276 29259
1439008,39276 29259
3038916,39276 29259
2501929,39276 29259
2933813,39276 29259
2319229,39276 29259
1377963,39276 29259
2378542,39276 29259
912504,39276 29259
1855957,39276 29259
1997402,39276 29259
2125930,39276 29259
1855603,39276 29259
3369550,39276 29259
3001990,39276 29259
926899,39276 29259
2269636,39276 29259
1122486,39276 29259
2460955,39276 29259
3344892,39276 29259
2693995,39276 29259
374102,39276 29259
2139460,39276 29259
1205082,39276 29259
1346104,39276 29259
2124734,39276 29259
1153120,39276 29259
2541271,39276 29259
1065314,39276 29259
2207518,39276 29259
1794541,39276 29259
1004298,39276 29259
2587900,39276 29259
863338,39276 29259
677983,39276 29259
2870742,39276 29259
539759,39276 29259
2490390,39276 29259
1831467,39276 29259
3300820,39276 29259
1585521,39276 29259
372306,39276 29259
778456,39276 29259
372463,39276 29259
3371473,39276 29259
1846183,39276 29259
325876,39276 29259
712724,39276 29259
3104654,39276 29259
973390,39276 29259
379618,39276 29259
3230608,39276 29259
2792965,39276 29259
1647224,39276 29259
974542,39276 29259
1064642,39276 29259
1648211,39276 29259
1436150,39276 29259
1818396,39276 29259
1990474,39276 29259
3366860,39276 29259
3210307,39276 29259
3366274,39276 29259
760910,39276 29259
1911405,39276 29259
2030334,39276 29259
2990143,39276 29259
2770895,39276 29259
2015417,39276 29259
2108295,39276 29259
1844980,39276 29259
3263474,39276 29259
474374,39276 29259
623072,39276 29259
709085,39276 29259
2359617,39276 29259
618532,39276 29259
18146,39276 29259
1559007,39276 29259
1795511,39276 29259
1479517,39276 29259
473686,39276 29259
2531972,39276 29259
2260400,39276 29259
1815324,39276 29259
1441069,39276 29259
3384,39276 29259
2580750,39276 29259
2240581,39276 29259
3408626,39276 29259
3267658,39276 29259
3271353,39276 29259
2835677,39276 29259
1179581,39276 29259
1132699,39276 29259
2633683,39276 29259
1010174,39276 29259
2477560,39276 29259
1038557,39276 29259
1413191,39276 29259
911073,39276 29259
1358152,39276 29259
1884090,39276 29259
1410006,39276 29259
1530320,39276 29259
2374222,39276 29259
2765452,39276 29259
1951226,39276 29259
3016758,39276 29259
932452,39276 29259
1319495,39276 29259
3312717,39276 29259
2656584,39276 29259
494710,39276 29259
2552524,39276 29259
2571393,39276 29259
23099,39276 29259
3019130,39276 29259
1529638,39276 29259
292019,39276 29259
3176744,39276 29259
2248197,39276 29259
337848,39276 29259
705411,39276 29259
819727,39276 29259
23032,39276 29259
53974,39276 29259
1783078,39276 29259
1221411,39276 29259
38644,39276 29259
765635,39276 29259
27738,39276 29259
2242049,39276 29259
2831134,39276 29259
581187,39276 29259
453989,39276 29259
1838328,39276 29259
2174441,39276 29259
3287916,39276 29259
2402678,39276 29259
667078,39276 29259
2129603,39276 29259
1057791,39276 29259
3225891,39276 29259
1686039,39276 29259
2472394,39276 29259
2704410,39276 29259
2626448,39276 29259
842973,39276 29259
2667099,39276 29259
3249652,39276 29259
251641,39276 29259
1730216,39276 29259
963513,39276 29259
2311800,39276 29259
1063126,39276 29259
2354630,39276 29259
2245672,39276 29259
1888422,39276 29259
867820,39276 29259
388032,39276 29259
139936,39276 29259
2108552,39276 29259
1320283,39276 29259
2546238,39276 29259
1371235,39276 29259
224249,39276 29259
2205319,39276 29259
519231,39276 29259
2349909,39276 29259
1799175,39276 29259
2924753,39276 29259
2461608,39276 29259
3239684,39276 29259
3063620,39276 29259
1752155,39276 29259
1212692,39276 29259
45029,39276 29259
2237048,39276 29259
789702,39276 29259
2963716,39276 29259
593697,39276 29259
942710,39276 29259
1753378,39276 29259
609403,39276 29259
3120049,39276 29259
20765,39276 29259
2993192,39276 29259
2362179,39276 29259
3336186,39276 29259
734729,39276 29259
1842502,39276 29259
1649077,39276 29259
2336395,39276 29259
2884899,39276 29259
2916106,39276 29259
379975,39276 29259
500895,39276 29259
2924350,39276 29259
1788945,39276 29259
2534391,39276 29259
799256,39276 29259
3287420,39276 29259
779117,39276 29259
1098840,39276 29259
480635,39276 29259
2678799,39276 29259
3406260,39276 29259
3085577,39276 29259
3020174,39276 29259
268292,39276 29259
3277204,39276 29259
1308868,39276 29259
3303198,39276 29259
3151359,39276 29259
2063142,39276 29259
2993217,39276 29259
3202925,39276 29259
2582360,39276 29259
1272784,39276 29259
2668837,39276 29259
817726,39276 29259
1853418,39276 29259
3295424,39276 29259
2281968,39276 29259
324676,39276 29259
2512835,39276 29259
1802399,39276 29259
120547,39276 29259
3301055,39276 29259
2603940,39276 29259
549695,39276 29259
2933354,39276 29259
927919,39276 29259
1442697,39276 29259
923165,39276 29259
376952,39276 29259
1130711,39276 29259
479368,39276 29259
1802383,39276 29259
2019644,39276 29259
2289070,39276 29259
118472,39276 29259
2668595,39276 29259
3312238,39276 29259
1288181,39276 29259
1300598,39276 29259
113476,39276 29259
1031453,39276 29259
2285042,39276 29259
2969555,39276 29259
3070005,39276 29259
1123364,39276 29259
865329,39276 29259
1986455,39276 29259
63382,39276 29259
2277067,39276 29259
2444349,39276 29259
2157583,39276 29259
3373617,39276 29259
2510883,39276 29259
2739361,39276 29259
3315155,39276 29259
1101698,39276 29259
2485241,39276 29259
1066927,39276 29259
2915196,39276 29259
3137137,39276 29259
584702,39276 29259
2254086,39276 29259
191292,39276 29259
3123744,39276 29259
3346113,39276 29259
1287023,39276 29259
1749762,39276 29259
373188,39276 29259
401266,39276 29259
297697,39276 29259
1109456,39276 29259
626430,39276 29259
1955116,39276 29259
1445941,39276 29259
1142711,39276 29259
1697800,39276 29259
1397645,39276 29259
3288663,39276 29259
669483,39276 29259
2536547,39276 29259
2113780,39276 29259
1994969,39276 29259
2892870,39276 29259
1783557,39276 29259
134756,39276 29259
1496266,39276 29259
1709338,39276 29259
823271,39276 29259
2449934,39276 29259
2558892,39276 29259
1297210,39276 29259
150651,39276 29259
1839199,39276 29259
399510,39276 29259
1079103,39276 29259
2530750,39276 29259
2145568,39276 29259
2634680,39276 29259
2473662,39276 29259
335056,39276 29259
3194107,39276 29259
2896553,39276 29259
44357,39276 29259
2688962,39276 29259
935128,39276 29259
2140520,39276 29259
3331585,39276 29259
1784945,39276 29259
775364,39276 29259
1749473,39276 29259
862353,39276 29259
3375268,39276 29259
2657392,39276 29259
224575,39276 29259
1856832,39276 29259
2148931,39276 29259
930800,39276 29259
2801238,39276 29259
2449629,39276 29259
3048489,39276 29259
200402,39276 29259
2167659,39276 29259
189100,39276 29259
30928,39276 29259
933784,39276 29259
2305536,39276 29259
2301374,39276 29259
2412970,39276 29259
1748585,39276 29259
1869116,39276 29259
315739,39276 29259
81420,39276 29259
2789483,39276 29259
888988,39276 29259
361000,39276 29259
1638851,39276 29259
2265935,39276 29259
441825,39276 29259
1511832,39276 29259
44951,39276 29259
2781846,39276 29259
230408,39276 29259
1673964,39276 29259
2340082,39276 29259
1929125,39276 29259
2081805,39276 29259
2103276,39276 29259
3171787,39276 29259
1410137,39276 29259
611531,39276 29259
390109,39276 29259
725873,39276 29259
176676,39276 29259
1566131,39276 29259
2367480,39276 29259
3237378,39276 29259
696584,39276 29259
632994,39276 29259
1835457,39276 29259
882209,39276 29259
3065450,39276 29259
1008058,39276 29259
792512,39276 29259
699553,39276 29259
269761,39276 29259
3325658,39276 29259
524249,39276 29259
1581273,39276 29259
146159,39276 29259
3263351,39276 29259
625846,39276 29259
2044846,39276 29259
566911,39276 29259
2240702,39276 29259
428725,39276 29259
2313068,39276 29259
2712422,39276 29259
1668503,39276 29259
2897131,39276 29259
1869666,39276 29259
2265981,39276 29259
1600743,39276 29259
1657743,39276 29259
1791034,39276 29259
134069,39276 29259
1053716,39276 29259
2980511,39276 29259
1010138,39276 29259
2862529,39276 29259
2168746,39276 29259
2176045,39276 29259
423798,39276 29259
798148,39276 29259
2930331,39276 29259
3009720,39276 29259
1330824,39276 29259
344820,39276 29259
754758,39276 29259
2893614,39276 29259
1421079,39276 29259
2652504,39276 29259
1892206,39276 29259
2813371,39276 29259
2243156,39276 29259
1171353,39276 29259
2770761,39276 29259
1389696,39276 29259
399373,39276 29259
2929380,39276 29259
1674456,39276 29259
626399,39276 29259
2649423,39276 29259
2031062,39276 29259
940821,39276 29259
1610482,39276 29259
855122,39276 29259
2369818,39276 29259
2536770,39276 29259
1456398,39276 29259
2060341,39276 29259
900829,39276 29259
1130156,39276 29259
1083546,39276 29259
125301,39276 29259
2513457,39276 29259
293975,39276 29259
1057665,39276 29259
3131023,39276 29259
1947901,39276 29259
895535,39276 29259
2044917,39276 29259
2214161,39276 29259
48011,39276 29259
1215412,39276 29259
2257344,39276 29259
218748,39276 29259
2779730,39276 29259
2613122,39276 29259
29193,39276 29259
271060,39276 29259
539249,39276 29259
1067448,39276 29259
2069956,39276 29259
294349,39276 29259
363139,39276 29259
2612865,39276 29259
644832,39276 29259
24950,39276 29259
2394198,39276 29259
3070450,39276 29259
2523312,39276 29259
1661316,39276 29259
751993,39276 29259
2454433,39276 29259
1560393,39276 29259
674874,39276 29259
439968,39276 29259
157206,39276 29259
506211,39276 29259
2421679,39276 29259
2843017,39276 29259
1253140,39276 29259
109909,39276 29259
982972,39276 29259
1054519,39276 29259
3270960,39276 29259
650004,39276 29259
532790,39276 29259
876573,39276 29259
1626583,39276 29259
848558,39276 29259
1497516,39276 29259
1228847,39276 29259
3377403,39276 29259
2929846,39276 29259
2788937,39276 29259
2696179,39276 29259
2479067,39276 29259
305128,39276 29259
1616767,39276 29259
1649310,39276 29259
1540363,39276 29259
1105357,39276 29259
535571,39276 29259
79890,39276 29259
3238220,39276 29259
1507795,39276 29259
1885602,39276 29259
1038116,39276 29259
912168,39276 29259
619722,39276 29259
1623556,39276 29259
3359669,39276 29259
2654652,39276 29259
3195946,39276 29259
893550,39276 29259
2104476,39276 29259
845553,39276 29259
2448938,39276 29259
817501,39276 29259
166359,39276 29259
2497330,39276 29259
3296127,39276 29259
2703649,39276 29259
2321896,39276 29259
2289284,39276 29259
1932818,39276 29259
3225288,39276 29259
3026349,39276 29259
1575233,39276 29259
2915239,39276 29259
2899895,39276 29259
1850857,39276 29259
3284123,39276 29259
3258681,39276 29259
2490190,39276 29259
1689967,39276 29259
3287109,39276 29259
906355,39276 29259
1918287,39276 29259
1609006,39276 29259
204906,39276 29259
57819,39276 29259
94653,39276 29259
3237925,39276 29259
82217,39276 29259
